job_title,company_title,salary,location,posting_date,expiration_date,industry,job_type,exp,position,detailed_welfare,age,sex,edu_level,job_tags
Nhân viên Kiểm toán nội bộ (Internal Auditor),CJ Foodville Việt Nam,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,25/08/2023,Kế toán / Kiểm toán | Thực phẩm & Đồ uống | Bán lẻ / Bán sỉ,Nhân viên chính thức,3 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Phụ cấp | Xe đưa đón | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Cao đẳng
         ",NHÂN VIÊN KIỂM SOÁT NỘI BỘ Chuỗi F&B | NHÂN VIÊN KIỂM SOÁT NỘI BỘ | Commercial Audit Executive | Chuyên viên kiểm toán nội bộ | Kiểm soát viên nội bộ | Kiểm toán viên nội bộ | Chuyên viên kiểm soát nội bộ | Compliance Auditor | kiểm soát nội bộ | Internal Audit | Kiểm toán viên | Auditing supervisor | Kiểm toán nội bộ | Kiểm toán tư nhân | Kiểm toán nhà nước | Auditor | Internal Auditor | External Auditor | Chuyên viên kiểm toán | Trưởng nhóm kiểm toán | Kiểm toán viên CPA | Internal Controller | tài chính | Kiểm toán viên thương mại
Ecommerce Manager,CÔNG TY TNHH THƯƠNG MẠI NCA (VN),Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,12/07/2023,Bán lẻ / Bán sỉ | Tiếp thị trực tuyến | Dệt may / Da giày / Thời trang,Nhân viên chính thức,5 - 7 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                        28 - 35
                 
	",," Bằng cấp:
                Đại học
         ", Nhân viên kinh doanh thương mại điện tử |  Quản lý thương mại điện tử |  B2B |  B2C |  C2C |  thương mại điện tử |  bán hàng online |  shop online |  sale online |  mua bán online
GIÁM ĐỐC KHÁCH SẠN,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 15 Tr - 30 Tr VND,Hà Nội | Hồ Chí Minh,25-06-2023,21/06/2023,Dịch vụ khách hàng | Quản lý điều hành | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",2 - 5 Năm,Giám đốc ,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        27 - 40
                 
	"," Giới tính:
         Nam
         ",,
GIÁM SÁT LỄ TÂN,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 12 Tr - 20 Tr VND,Hà Nội | Hồ Chí Minh | Quảng Ninh,25-06-2023,27/05/2023,Quản lý điều hành | Nhân sự | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",1 - 3 Năm,Trưởng nhóm / Giám sát,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        27 - 40
                 
	",," Bằng cấp:
                Trung cấp
         ",
KẾ TOÁN THUẾ,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 12 Tr - 20 Tr VND,Hà Nội | Hồ Chí Minh | Đà Nẵng,25-06-2023,29/07/2023,Kế toán / Kiểm toán | Tài chính / Đầu tư | Nhà hàng / Khách sạn,"Nhân viên chính thức, Thời vụ/ Nghề tự do, Thực tập",2 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        25 - 40
                 
	",," Bằng cấp:
                Cao đẳng
         ",
Brand Manager (Functional foods),CJ Foods Vietnam,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,29/07/2023,Tiếp thị / Marketing | Tiếp thị trực tuyến | Thực phẩm & Đồ uống,Nhân viên chính thức,3 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",Brand Manager Functional foods |  Trưởng nhãn hàng |  Giám đốc nhãn hàng |  Giám đốc nhãn hiệu |  Brand Director |  Giám đốc thương hiệu |  Senior Brand Manager
Trade Marketing Manager (Ha Noi),Công Ty TNHH CJ Foods Việt Nam,Lương: Cạnh tranh,Hà Nội,25-06-2023,05/07/2023,Tiếp thị / Marketing | Bán hàng / Kinh doanh | Tiếp thị trực tuyến,Nhân viên chính thức,3 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",
Transportation Ast Manager (Long An),Công Ty TNHH CJ Foods Việt Nam,Lương: Cạnh tranh,Long An | Hồ Chí Minh,25-06-2023,23/07/2023,Vận chuyển / Giao nhận /  Kho vận | Hàng gia dụng / Chăm sóc cá nhân | Thực phẩm & Đồ uống,Nhân viên chính thức,2 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Phụ cấp | Xe đưa đón | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	"," Giới tính:
         Nam
         "," Bằng cấp:
                Đại học
         ",Transportation Ast Manager Long An |  Purchasing |  Nhân viên mua hàng  Staff |  Associates  Accountant |  Staff/ Executive/ Supervisor/ Manager |  purchasing staff |  Executive |  specialist |  Coordinator |  Supervisor |  officier
Nhân Viên Marketing (Không Yêu Cầu Kinh Nghiệm),CÔNG TY CP HERMANOSS VIỆT NAM,Lương: 7 Tr - 15 Tr VND,Hà Nội,25-06-2023,,Tiếp thị / Marketing | Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,Nhân viên,30/07/2023,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        22 - 25
                 
	",,,Nhân Viên Marketing Không Yêu Cầu Kinh Nghiệm |  Marketing Executive |  Marketer |  Chuyên viên Marketing |  Nhân viên phòng marketing xuất nhập khẩu |  Marketing Training
Trưởng Nhóm Marketing,CÔNG TY CP HERMANOSS VIỆT NAM,Lương: 8 Tr - 20 Tr VND,Hà Nội,25-06-2023,30/07/2023,Tiếp thị / Marketing | Quảng cáo / Đối ngoại / Truyền Thông,Nhân viên chính thức,1 - 2 Năm,Trưởng nhóm / Giám sát,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        21 - 25
                 
	",," Bằng cấp:
                Đại học
         ", Marketing Supervisor |  Trưởng phòng Marketing |  Makerting Manager |  Giám đốc tiếp thị |  Giám đốc Marketing |  Makerting Director |  Giám đốc truyền thông & tiếp thị |  Giám sát tiếp thị |  Marketing Manager |  Marketing Director
Nhân Viên Tư Vấn,CÔNG TY CP HERMANOSS VIỆT NAM,Lương: 8 Tr - 15 Tr VND,Hà Nội,25-06-2023,30/07/2023,Bán hàng / Kinh doanh | Tư vấn,Nhân viên chính thức,Lên đến 1Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                Không giới hạn tuổi
         
	",,, Chuyên viên tư vấn |  Tư vấn viên |  Consultant |  Counsellor |  Consultant Executive
Nhân Viên Chăm Sóc Khách Hàng,CÔNG TY CP HERMANOSS VIỆT NAM,Lương: Trên 8 Tr VND,Hà Nội,25-06-2023,30/07/2023,Bán hàng / Kinh doanh | Tư vấn,Nhân viên chính thức,Lên đến 1Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                Không giới hạn tuổi
         
	",,, Nhân viên dịch vụ khách hàng |  Customer care staff |  Customer service staff |  Customer service executive |  Nhân viên hỗ trợ khách hàng |  Customer service representative |  Customer services |  trực tổng đài
Chuyên viên tài chính,Công Ty Cổ Phần TARA,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,14/07/2023,Bán lẻ / Bán sỉ,Nhân viên chính thức,2 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",
Trưởng Nhóm Kiểm Thử Phần Mềm,INFINIQ VIETNAM,Lương: Cạnh tranh,Hà Nội,25-06-2023,31/07/2023,Cơ khí / Ô tô / Tự động hóa | CNTT - Phần mềm | CNTT - Phần cứng / Mạng,Nhân viên chính thức,2 - 5 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Du lịch nước ngoài | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ", Quality Team Leader |  QC Leader |  Test Leader |  Embedded Software Engineer
Nhân viên kiểm thử phần mềm,INFINIQ VIETNAM,Lương: Cạnh tranh,Hà Nội,25-06-2023,31/07/2023,CNTT - Phần mềm | CNTT - Phần cứng / Mạng,Nhân viên chính thức,1 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Du lịch nước ngoài | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ", Software Tester |  Chuyên viên kiểm định phần mềm |  Tester |  Manual Tester |  Testing Engineer |  Quality Control |  Test Engineer |  QA Staff |  QC staff |  Embeded |  Embedded Software Engineer
Trưởng nhóm Phát triển đối tác,HỆ THỐNG GIÁO DỤC EDUFIT,Lương: Lên đến 20 Tr VND,Hà Nội,25-06-2023,24/07/2023,Tiếp thị / Marketing | Bán hàng / Kinh doanh,Nhân viên chính thức,1 - 2 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",
Engineer Of Development Center,Công ty TNHH Sài Gòn Stec,Lương: 17 Tr - 23 Tr VND,Bình Dương,25-06-2023,24/07/2023,Điện / Điện tử / Điện lạnh,Nhân viên chính thức,Trên 2 Năm,Trưởng nhóm / Giám sát,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Xe đưa đón | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Đại học
         ",
93374 - Technical Sales Services Manager - Consulting,"RGF HR Agent Vietnam Co., LTD",Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,24/07/2023,Bán hàng / Kinh doanh | Bán lẻ / Bán sỉ,Nhân viên chính thức,5 - 7 Năm,Quản lý,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                        28 - 45
                 
	",," Bằng cấp:
                Đại học
         ",- Technical Sales Services Manager - Consulting |  Giám đốc phòng dịch vụ khách hàng |  Customer service manager |  Trưởng phòng dịch vụ khách hàng |  Head of Customer Services |  Customer Service Team Leader
Chuyên viên đấu thầu (Tiếng Anh),CÔNG TY CỔ PHẦN EUROWINDOW HOLDING,Lương: Cạnh tranh,Hà Nội,25-06-2023,24/07/2023,Xây dựng | Kiến trúc | Bất động sản,Nhân viên chính thức,2 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        27 - 40
                 
	",," Bằng cấp:
                Đại học
         ",
Chuyên Viên Tuyển Sinh  (Ocean Edu Hạ Long 2),Công Ty CP Giáo Dục Đại Dương,Lương: 11 Tr - 13 Tr VND,Quảng Ninh,25-06-2023,,Tiếp thị / Marketing | Bán hàng / Kinh doanh | Tư vấn,Nhân viên chính thức,Nhân viên,24/07/2023,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        21 - 35
                 
	",," Bằng cấp:
                Cao đẳng
         ",
[PHÚ MỸ] TRƯỞNG TRUNG TÂM TIÊM CHỦNG,Công Ty Cổ Phần Vacxin Việt Nam,Lương: Cạnh tranh,Bình Dương,25-06-2023,24/07/2023,Tiếp thị / Marketing | Bán lẻ / Bán sỉ | Bán hàng / Kinh doanh,Nhân viên chính thức,3 - 5 Năm,Quản lý,Chế độ bảo hiểm | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",,,
Nhân viên Kinh doanh Khách đoàn,Công Ty CP Du lịch và Tiếp Thị GTVT Việt Nam- Vietravel,Lương: Cạnh tranh,Hải Phòng,25-06-2023,24/07/2023,Dịch vụ khách hàng | Bán hàng / Kinh doanh | Du lịch,Nhân viên chính thức,1 - 2 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",,,Nhân viên Kinh doanh khách lẻ | Nhân viên Kinh doanh Khách đoàn | Nhân viên Kinh doanh Khách đoàn Chi nhánh Hải Phòng
QUẢN LÝ SIÊU THỊ,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 20 Tr - 30 Tr VND,Hà Nội,25-06-2023,29/07/2023,Bán hàng / Kinh doanh | Hàng gia dụng / Chăm sóc cá nhân | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",2 - 5 Năm,Quản lý,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        30 - 40
                 
	",," Bằng cấp:
                Đại học
         ", Quản lý chuỗi cửa hàng tiện dụng |  Store Manager |  Cửa hàng trưởng |  Store chain manager |  Quản lý chuỗi cửa hàng |  Quản lý chuỗi cửa hàng bán lẻ |  Quản lý chuỗi cửa hàng thời trang |  Trưởng chuỗi Shop
[BÀU BÀNG] TRƯỞNG TRUNG TÂM TIÊM CHỦNG,Công Ty Cổ Phần Vacxin Việt Nam,Lương: Cạnh tranh,Bình Dương,25-06-2023,24/07/2023,Tiếp thị / Marketing | Bán lẻ / Bán sỉ | Bán hàng / Kinh doanh,Nhân viên chính thức,3 - 5 Năm,Quản lý,Chế độ bảo hiểm | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",,,
F&B Attendant - Quận 9,"CBRE (Vietnam) Co.,ltd",Lương: 8 Tr - 12 Tr VND,Hồ Chí Minh,25-06-2023,24/07/2023,Dịch vụ khách hàng | Nhà hàng / Khách sạn | Bất động sản,Nhân viên chính thức,1 - 2 Năm,Nhân viên,Chế độ bảo hiểm | Phụ cấp | Đồng phục | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",,,F&B  |  Services Attendant |  Nhân viên phục vụ
[JHC0030758] Business Research & Development Staff (New Business Development Team),"Iconic Co.,Ltd","Lương: 19,8 Tr - 33 Tr VND",Hà Nội,25-06-2023,24/07/2023,Tài chính / Đầu tư | Bán hàng / Kinh doanh,Nhân viên chính thức,Trên 3 Năm,Nhân viên,," Độ tuổi:
                        25 - 30
                 
	",," Bằng cấp:
                Đại học
         ",Market research |  Business Analyst |  business consulting |  market insight |  business development |  consulting firm |  investment proposal |  new business development
"PHIÊN DỊCH ANH NHẬT CỦA TẬP ĐOÀN NHẬT BẢN TẠI KCN TL2, HƯNG YÊN - CÓ XE ĐƯA ĐÓN TỪ HÀ NỘI",Công Ty TNHH OS POWER Việt Nam,Lương: Cạnh tranh,Hưng Yên,25-06-2023,24/07/2023,Luật / Pháp lý | Biên phiên dịch | Bán hàng / Kinh doanh,Nhân viên chính thức,2 - 5 Năm,Nhân viên,," Độ tuổi:
                Không giới hạn tuổi
         
	",,,PHIÊN DỊCH ANH NHẬT | PHIÊN DỊCH ANH NHẬT TẠI CÔNG TY SX NHẬT | PHIÊN DỊCH ANH NHẬT CỦA TẬP ĐOÀN NHẬT BẢN TẠI KCN TL HƯNG YÊN | PHIÊN DỊCH ANH NHẬT CỦA TẬP ĐOÀN NHẬT BẢN TẠI KCN TL HƯNG YÊN - CÓ XE ĐƯA ĐÓN TỪ HÀ NỘI
Chuyên viên Phát triển Khách hàng Cá nhân - RB - MSB - 3F149,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam (MSB),Lương: Cạnh tranh,Long An | Bến Tre | Tiền Giang,25-06-2023,24/07/2023,Ngân hàng,Nhân viên chính thức,Chưa có kinh nghiệm,Mới tốt nghiệp,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Cao đẳng
         ",Chuyên viên Phát triển Khách hàng Cá nhân - RB - MSB - F |  Business development officer
Trưởng Phòng Kinh Doanh,Công ty TNHH Phát Triển Giáo Dục Và Hợp Tác Quốc Tế THANHMAIHSK,Lương: 18 Tr - 22 Tr VND,Hà Nội,25-06-2023,24/07/2023,Bán hàng / Kinh doanh | Giáo dục / Đào tạo | In ấn / Xuất bản,Nhân viên chính thức,2 - 5 Năm,Quản lý,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        26 - 32
                 
	"," Giới tính:
         Nam
         "," Bằng cấp:
                Đại học
         ", Head of sales
Nhân viên kinh doanh (Sale Specifier),Công ty CP SX VL Cách Âm Cách Nhiệt Cát Tường,Lương: 15 Tr - 30 Tr VND,Hà Nội,25-06-2023,,,,,,,,,,Nhân viên kinh doanh Sale Specifier | Đại diện kinh doanh | Nhân viên phòng kinh doanh | Nhân viên bán hàng | Đại diện bán hàng | Telesales | Salesman | Sales Engineer | Sales Executive | Chuyên Viên Kinh Doanh | Sales Dept
Nhân viên bảo hiểm,CÔNG TY TNHH MÔI GIỚI BẢO HIỂM LK VIỆT NAM,Lương: Trên 10 Tr VND,Hồ Chí Minh,25-06-2023,,Tiếp thị / Marketing | Mới tốt nghiệp / Thực tập | Bán hàng / Kinh doanh,Nhân viên chính thức,Mới tốt nghiệp,24/07/2023,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Du lịch nước ngoài | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        22 - 30
                 
	"," Giới tính:
         Nữ  "," Bằng cấp:
                Đại học
         ", Nhân viên kinh doanh bảo hiểm |  Insurance officer |  Underwriter | marketing | sale | mới tốt nghiệp | bảo hiểm | trợ lý
Nhân Viên Kinh Doanh Xuất Khẩu (Ngành Hàng Thực Phẩm),CÔNG TY CỔ PHẦN PLAY NUTRITION ,Lương: 12 Tr - 20 Tr VND,Hồ Chí Minh,25-06-2023,25/07/2023,Bán hàng / Kinh doanh | Thực phẩm & Đồ uống | Xuất nhập khẩu,Nhân viên chính thức,1 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                Không giới hạn tuổi
         
	",," Bằng cấp:
                Cao đẳng
         ",Nhân Viên Kinh Doanh Xuất Khẩu Ngành Hàng Thực Phẩm |  Đại diện kinh doanh |  Nhân viên phòng kinh doanh |  Nhân viên bán hàng |  Salesman |  Sales Executive |  Chuyên Viên Kinh Doanh |  Nhân viên kinh doanh |  Nhân viên kinh doanh quốc tế |  Chuyên viên kinh doanh quốc tế |  Nhân viên kinh doanh xuất nhập khẩu |  Nhân viên kinh doanh hàng tiêu dùng |  Export Import Officer |  Export Import Executive |  Export Import Specialist |  Import Export Executive |  Chuyên viên phát triển thị trường quốc tế
Hòa Binh - Giao dịch viên,LPBank,Lương: Cạnh tranh,Hòa Bình,25-06-2023,,Bất động sản | Bảo hiểm | Bán hàng / Kinh doanh,Nhân viên chính thức,Nhân viên,24/07/2023,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                Không giới hạn tuổi
         
	",,,Hà Tĩnh-Phòng Kế toán Ngân quỹ Chuyên viên Khách hàng Giao Dịch viên Chuyên viên xử lý nợ | Hà Tĩnh - Chuyên viên Khách hàng Giao dịch viên Chuyên viên Xử lý nợ | Hà Tĩnh - Kiểm soát viên Chuyên viên Khách hàng Chuyên viên Xử lý nợ Giao dịch viên | Hòa Binh - Chuyên viên Khách hàng Chuyên viên Hỗ trợ Hoạt động Giao dịch viên | Hòa Binh - Giao dịch viên
KẾ TOÁN CÔNG NỢ,CÔNG TY CỔ PHẦN QUỐC TẾ TẬP ĐOÀN KHÁCH SẠN A25,Lương: 13 Tr - 20 Tr VND,Hà Nội,25-06-2023,30/07/2023,Kế toán / Kiểm toán | Tài chính / Đầu tư | Nhà hàng / Khách sạn,"Nhân viên chính thức, Bán thời gian, Thời vụ/ Nghề tự do, Thực tập",1 - 5 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                        25 - 35
                 
	"," Giới tính:
         Nữ  "," Bằng cấp:
                Cao đẳng
         ",
Chủ Nhiệm Lớp Tiếng Anh (Ocean Edu Buôn Ma Thuột),Công Ty CP Giáo Dục Đại Dương,Lương: 11 Tr - 13 Tr VND,Dak Lak,25-06-2023,,Dịch vụ khách hàng | Giáo dục / Đào tạo | Tư vấn,Nhân viên chính thức,Nhân viên,24/07/2023,Chế độ bảo hiểm | Du Lịch | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Nghỉ phép năm," Độ tuổi:
                        21 - 35
                 
	",," Bằng cấp:
                Cao đẳng
         ",
Customer Service (Làm việc tại Long Biên),Headhunter HRchannels Group,"Lương: 8,8 Tr - 17,6 Tr VND",Hà Nội | Bắc Ninh | Hưng Yên,25-06-2023,24/07/2023,Dịch vụ khách hàng | Hành chính / Thư ký,Nhân viên chính thức,1 - 3 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương," Độ tuổi:
                        23 - 30
                 
	"," Giới tính:
         Nữ  "," Bằng cấp:
                Đại học
         ",Customer Service Làm việc tại Long Biên |  Customer services |  Nhân viên chăm sóc khách hàng |  Customer service staff |  Customer service executive |  Nhân viên hỗ trợ khách hàng |  Customer service representative | Phùng Thị Thanh Huyền | SSSTutter | HDC Company
Ruby On Rails Developer (Middle to Senior),CÔNG TY TNHH MTV Tin Học Á Đông Vi Na,Lương: 25 Tr - 40 Tr VND,Hồ Chí Minh,25-06-2023,24/07/2023,CNTT - Phần mềm | CNTT - Phần cứng / Mạng,Nhân viên chính thức,2 - 5 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Chế độ thưởng | Đào tạo | Tăng lương | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                        23 - 45
                 
	",," Bằng cấp:
                Cao đẳng
         ",
Middle/ Senior Manual Tester,Simpson Strong Tie Viet Nam Company Limited,Lương: Cạnh tranh,Hồ Chí Minh,25-06-2023,24/07/2023,CNTT - Phần mềm,Nhân viên chính thức,3 - 7 Năm,Nhân viên,Laptop | Chế độ bảo hiểm | Du Lịch | Phụ cấp | Du lịch nước ngoài | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm | CLB thể thao," Độ tuổi:
                Không giới hạn tuổi
         
	",,, Nhân viên kiểm thử phần mềm |  Software Tester |  Chuyên viên kiểm định phần mềm |  Tester |  QC |  QA/QC |  Automation Tester |  Testing Engineer |  QA |  Quality Control
Nhân viên thu hồi nợ qua điện thoại,Công Ty Quản Lý Nợ Và Khai Thác Tài Sản - Ngân Hàng TMCP Quân Đội,Lương: Cạnh tranh,Hà Nội,25-06-2023,24/07/2023,Luật / Pháp lý,Nhân viên chính thức,Trên 1 Năm,Nhân viên,Chế độ bảo hiểm | Du Lịch | Phụ cấp | Đồng phục | Chế độ thưởng | Chăm sóc sức khỏe | Đào tạo | Tăng lương | Công tác phí | Phụ cấp thâm niên | Nghỉ phép năm," Độ tuổi:
                        22 - 40
                 
	",," Bằng cấp:
                Cao đẳng
         ",
